PROPERTY_ID,LOCATION,TOTAL_AREA,PRICE,PREDICTED_PRICE
14057,"Rwa Motia Khan ,Jhandewalan Extension, Karol Bagh,New Delhi",900,9500000,9505600.0
14058,"Laxmi Nagar, New Delhi",500,4200000,4207000.0
14059,"Badarpur Village, Badarpur,New Delhi",850,2400000,2412400.0
14060,"Shri Krishna Residence Welfare Association,Phase 2, Sunlight Colony,New Delhi",534,3500000,3510000.0
14061,"House No 4 ,Gautam Nagar, New Delhi",450,3500000,3498000.0
14062,"3169 Gali Sui Wali Ram Bazar,Old Delhi, New Delhi",700,6000000,6000000.0
14063,"Block E, Kalkaji,New Delhi",2565,13000000,13111000.0
14064,"Freedom Fighter Vihar, Said-Ul-Ajaib,New Delhi",500,2000000,1999000.0
14065,"Block C, Sector 17 Rohini,New Delhi",640,3400000,3419000.0
14066,"Jj Colony No 1, Nangloi,New Delhi",225,1650000,1651500.0
14067,"Sector 35 Rohini, New Delhi",360,1700000,1701500.0
14068,"Dda Flats ,Part 1, Mayur Vihar,New Delhi",500,2400000,2404500.0
14069,"Sant Nagar, New Delhi",400,2000000,2005500.0
14070,"Ramesh Park, Laxmi Nagar,New Delhi",200,2800000,2786000.0
14071,"Deepmala Apartment,Devli, Sangam Vihar,New Delhi",630,4500000,4503000.0
14072,"Nangloi Extension, Nangloi,New Delhi",400,2500000,2499000.0
14073,"Aya Nagar Extension, Aya Nagar,New Delhi",550,1900000,1907500.0
14074,"Bank Colony, Mandoli,New Delhi",1500,8500000,8503000.0
14075,"Kalkaji, New Delhi",2500,11500000,11510000.0
14076,"Shalimar Bagh, New Delhi",5805,140000000,136375000.0
14077,"Jhandewallan Motia Khan,Multani Dhanda, Paharganj,New Delhi",900,9900000,9886540.0
14078,"Dda Rohini,Sector 3B, Sector 3 Rohini,New Delhi",285,3000000,2967500.0
14079,"Dlf Capital Greens 1 And 2,Dle Industrial Area, Kirti Nagar,New Delhi",1600,30000000,29940000.0
14080,"Dera Mandi, New Delhi",1100,4000000,4002000.0
14081,"Keshav Puram, Tri Nagar,New Delhi",868,24000000,24040000.0
14082,"Sector 31 Rohini, New Delhi",1350,3000000,3005000.0
14083,"Khadda Colony, Jaitpur,New Delhi",677,2000000,2003100.0
14084,"Arya Nagar, Paharganj,New Delhi",1200,8500000,8503000.0
14085,"Khera Khurd, New Delhi",345,1200000,1212900.0
14086,"Old Rajinder Nagar, Rajinder Nagar,New Delhi",2007,34000000,33785000.0
